repetition,order_index,arm,framework_wall_s,measured_wall_s,work_dispatched_pages,physical_model_pages,ready_siblings_not_dispatched,inflight_siblings_computed_but_discarded,work_batch_fill_ratio,work_rpc_count,rpc_count,contract_passed,suppression_accounting_closed
0,0,v36-p0,80.628920,78.700313,2928,2928,0,0,0.9945652174,46,63,true,true
0,1,ray_data-p0,74.417183,74.417183,2928,2928,0,0,0.9531250000,,,true,true
0,2,daft-p0,88.531142,88.531142,2928,2928,0,0,0.9531250000,,,true,true
0,3,v36-p1,74.713275,72.423308,2757,2756,171,255,0.9790482955,44,60,true,true
0,4,ray_data-p1,74.368193,74.368193,2928,2927,0,426,0.9531250000,,,true,true
0,5,daft-p1,87.945147,87.945147,2928,2927,0,426,0.9531250000,,,true,true
1,0,ray_data-p0,74.541816,74.541816,2928,2928,0,0,0.9531250000,,,true,true
1,1,daft-p0,88.571580,88.571580,2928,2928,0,0,0.9531250000,,,true,true
1,2,v36-p1,74.047353,72.454662,2748,2747,180,246,0.9985465116,43,59,true,true
1,3,ray_data-p1,74.421409,74.421409,2928,2927,0,426,0.9531250000,,,true,true
1,4,daft-p1,88.266227,88.266227,2928,2927,0,426,0.9531250000,,,true,true
1,5,v36-p0,80.222454,78.584265,2928,2928,0,0,0.9945652174,46,63,true,true
2,0,daft-p0,88.764336,88.764336,2928,2928,0,0,0.9531250000,,,true,true
2,1,v36-p1,74.513838,72.870276,2752,2751,176,250,1.0000000000,43,59,true,true
2,2,ray_data-p1,74.360954,74.360954,2928,2927,0,426,0.9531250000,,,true,true
2,3,daft-p1,88.522670,88.522670,2928,2927,0,426,0.9531250000,,,true,true
2,4,v36-p0,80.160003,78.516608,2928,2928,0,0,0.9945652174,46,63,true,true
2,5,ray_data-p0,74.573913,74.573913,2928,2928,0,0,0.9531250000,,,true,true
3,0,v36-p1,73.914882,72.378860,2751,2750,177,249,0.9996366279,43,59,true,true
3,1,ray_data-p1,74.357867,74.357867,2928,2927,0,426,0.9531250000,,,true,true
3,2,daft-p1,86.404828,86.404828,2928,2927,0,426,0.9531250000,,,true,true
3,3,v36-p0,80.124218,78.545892,2928,2928,0,0,0.9945652174,46,63,true,true
3,4,ray_data-p0,74.323120,74.323120,2928,2928,0,0,0.9531250000,,,true,true
3,5,daft-p0,87.997217,87.997217,2928,2928,0,0,0.9531250000,,,true,true
4,0,ray_data-p1,74.269327,74.269327,2928,2927,0,426,0.9531250000,,,true,true
4,1,daft-p1,88.113613,88.113613,2928,2927,0,426,0.9531250000,,,true,true
4,2,v36-p0,80.626930,78.650898,2928,2928,0,0,0.9945652174,46,63,true,true
4,3,ray_data-p0,74.395076,74.395076,2928,2928,0,0,0.9531250000,,,true,true
4,4,daft-p0,87.573493,87.573493,2928,2928,0,0,0.9531250000,,,true,true
4,5,v36-p1,73.791151,72.240145,2736,2735,192,234,0.9941860465,43,59,true,true
