repetition,order_index,engine,poisoned_documents,documents,pages,poisoned_parent_pages,framework_wall_s,physical_model_pages,ready_siblings_not_dispatched,inflight_siblings_computed_but_discarded,work_batch_fill_ratio,contract_passed,output_identity_passed,suppression_accounting_closed
0,0,multigrain_v3_6,0,1885,45507,0,580.512696,45507,0,0,0.9664245667686034,True,True,True
0,1,ray_data,0,1885,45507,0,571.424127,45507,0,0,0.92584228515625,True,True,True
0,2,daft,0,1885,45507,0,671.254801,45507,0,0,0.926747311827957,True,True,True
0,3,multigrain_v3_6,99,1885,45507,23613,493.969769,39115,6293,17221,0.962259521005104,True,True,True
0,4,ray_data,99,1885,45507,23613,570.185565,45408,0,23514,0.92584228515625,True,True,True
0,5,daft,99,1885,45507,23613,663.287535,45408,0,23514,0.926747311827957,True,True,True
1,0,ray_data,0,1885,45507,0,571.337424,45507,0,0,0.92584228515625,True,True,True
1,1,daft,0,1885,45507,0,657.835152,45507,0,0,0.926747311827957,True,True,True
1,2,multigrain_v3_6,99,1885,45507,23613,494.097018,39135,6273,17241,0.9661643026004728,True,True,True
1,3,ray_data,99,1885,45507,23613,570.438042,45408,0,23514,0.92584228515625,True,True,True
1,4,daft,99,1885,45507,23613,658.878668,45408,0,23514,0.926747311827957,True,True,True
1,5,multigrain_v3_6,0,1885,45507,0,582.920528,45507,0,0,0.9654404276985744,True,True,True
2,0,daft,0,1885,45507,0,666.684029,45507,0,0,0.926747311827957,True,True,True
2,1,multigrain_v3_6,99,1885,45507,23613,495.644755,39251,6157,17357,0.9655967805261092,True,True,True
2,2,ray_data,99,1885,45507,23613,570.339899,45408,0,23514,0.92584228515625,True,True,True
2,3,daft,99,1885,45507,23613,666.34343,45408,0,23514,0.926747311827957,True,True,True
2,4,multigrain_v3_6,0,1885,45507,0,580.723151,45507,0,0,0.9654404276985744,True,True,True
2,5,ray_data,0,1885,45507,0,571.274263,45507,0,0,0.92584228515625,True,True,True
